Polygon1_Index,Polygon2_Index,DICE
0,100,0.014058379866434333
0,231,0.7800504003473939
1,230,0.9152570379884922
3,96,0.05507854086734575
3,97,0.8329543660501085
6,4,0.11795288388722741
9,133,0.8946462905473426
11,172,0.20150366787656926
11,142,0.020818817806274148
12,86,0.25075494339430543
14,53,0.04683963636016995
17,115,0.7828960511820994
18,78,0.5010505072787578
18,224,0.015839883184050673
19,113,0.8126452557425532
22,77,0.8275865421185631
23,74,0.8007081523564679
25,141,0.44015643788090497
26,141,0.5176859271988379
36,83,0.7638143422414305
38,189,0.03767764267616186
39,99,0.34662663070655736
40,128,0.23197776616711113
41,192,0.013582534263183984
42,192,0.02725986217203194
44,88,0.20196673766509096
46,195,0.2749679678999936
47,93,0.04400231765261112
49,23,0.031062708538926783
49,72,0.8188363385607068
50,72,0.03394800881769276
51,169,0.01694366486424065
52,159,0.7243645824727591
61,136,0.0331366550608608
64,18,0.05928442935670826
64,142,0.3293150477607809
65,18,0.05928442935670826
65,142,0.3293150477607809
66,213,0.07199450797914632
66,142,0.07482100870914832
70,126,0.6954544598662199
72,164,0.04609882953862802
73,125,0.40899731548028023
76,98,0.8556904188338593
77,179,0.8833384458640132
78,35,0.6578784031556891
79,223,0.12166175298651516
81,141,0.06339547428340395
82,141,0.1443074381646267
83,132,0.013311837256699918
83,168,0.8595607599000049
84,142,0.6424015735381877
85,70,0.2145110930441075
85,132,0.7850469317343687
89,117,0.7991702608036253
90,88,0.6786269342351643
90,192,0.033445513922546154
91,167,0.7078150474561825
93,75,0.8203535806335814
94,167,0.37810807613555464
95,152,0.8303107630438334
96,119,0.6888982421100277
97,151,0.8820069481747
98,120,0.7412313940641646
102,192,0.010007755388896613
103,128,0.6952742380490701
104,69,0.3160022816486965
104,131,0.014570333852844392
104,204,0.03637610758209422
105,65,0.8337044743722124
108,210,0.04771101049596592
108,211,0.8629593143727596
109,68,0.9331002763677857
110,69,0.15595018883692283
111,92,0.8681978720903653
113,219,0.7704054964278024
114,139,0.8176686342936799
115,95,0.5512183408781445
116,95,0.5336891910394851
117,87,0.6582723149685537
118,94,0.9151630744731835
119,89,0.0912727971937973
121,140,0.743507250092607
122,96,0.8932660000249597
122,97,0.015960085642164917
123,93,0.7826663536806294
125,122,0.7789275553043581
126,166,0.8678176199424592
127,180,0.6404009584645591
128,123,0.843949118422685
129,124,0.7589282018585491
130,127,0.7869813410199639
131,58,0.01744789938861694
131,89,0.6574226444143856
132,157,0.8063513399168772
133,157,0.05923271444002669
134,79,0.8909746098447647
135,86,0.7380791231013221
135,186,0.022881968260680615
136,84,0.835603831852967
140,156,0.9010194850086313
142,135,0.6791890094255182
143,187,0.8202603716206812
143,188,0.8202603716206812
145,10,0.3567727772177038
148,14,0.02140903759487331
148,196,0.8536926416506249
150,104,0.7743560060320068
150,105,0.7743560060320068
151,106,0.7880018944954403
152,102,0.028742938949956096
152,103,0.6758510037366711
153,80,0.6134073549498757
154,80,0.32873440954256156
157,111,0.5807822750076823
158,76,0.8193133533411244
159,103,0.5432350328820386
160,102,0.8721939207572692
161,186,0.9479936281033455
163,155,0.8805894273841577
164,144,0.9429367062362219
164,20,0.9481441213938779
165,185,0.9365843894729724
166,200,0.7056043284510649
167,38,0.8407529317142489
168,73,0.8467816413322512
169,183,0.7394822589423823
169,4,0.07683274971792445
171,220,0.8083578671854312
172,138,0.7826556180719378
172,219,0.04056942958539687
173,130,0.8200953636456744
174,215,0.840972846333339
175,217,0.8919766764067059
180,100,0.9192185513364832
180,231,0.13875771132612055
181,175,0.9101118163080103
184,172,0.8313156485210699
185,178,0.6302592949790612
186,178,0.5473431143241584
188,11,0.8436023657628872
189,154,0.8747454452450373
190,158,0.8895129472010952
191,19,0.9463462750824148
192,39,0.9440669976275072
193,62,0.020388548812758173
193,169,0.8803407028232137
194,165,0.9131850065800078
195,202,0.8147233098185004
196,131,0.8209156300726318
197,101,0.8454717351867008
197,137,0.02174766824477159
198,129,0.3611355892994686
198,137,0.5610799721068993
199,63,0.9358911039060782
200,229,0.9326493820098101
201,21,0.03606748410123519
202,195,0.8529714753745526
203,90,0.4799184894997135
204,27,0.8073599550392974
205,191,0.9010281165941356
207,221,0.8989884321390749
208,192,0.8982116895416554
209,213,0.9038709470277397
210,227,0.9387174115361747
211,204,0.8944657626889753
212,205,0.7940962770471153
213,197,0.9258425583875045
215,206,0.9287698064284754
217,207,0.8625951920143307
218,147,0.8649450954841528
219,164,0.921898695037989
220,190,0.9715933331955116
221,136,0.60197751970205
221,225,0.23459912729612922
222,63,0.010119846407123429
222,216,0.0230176143789452
223,143,0.9691770659499543
223,136,0.02354979994610773
224,194,0.9023249224754277
225,14,0.2783297380739778
225,9,0.06551686074524014
225,158,0.01460001402648426
227,160,0.8623189203323699
227,184,0.03507528082117334
228,162,0.9199645560429927
230,182,0.8894709087471008
231,201,0.8994664841371006
232,210,0.8531950875462855
233,208,0.8980118777303099
234,114,0.8866890322486862
236,218,0.9000338327909081
237,77,0.02926559406169429
237,193,0.895735040639627
238,53,0.028323577145830062
240,198,0.8790972397052583
241,153,0.8575839772963074
243,13,0.8482310605553767
244,12,0.8479938996706398
244,49,0.024891799782035172
245,189,0.8857900162659791
246,109,0.9022692236637518
247,108,0.8088635594222954
248,199,0.7666494677110764
249,110,0.8913414176516724
250,51,0.014523926027802113
250,107,0.8315339372563622
251,47,0.02882115767124028
251,150,0.9125711787674022
